AnimalName,Symptoms1,Symptoms2,Symptoms3,Symptoms4,Symptoms5,Dangerous
Dog,Panting,Yes,,,,
Dog,Dry eyes,Joint stiffness,Minor diarrhea,Increased thirst,No,
Cat,Coughing,Opaque cornea,Yes,,,
Cat,Dry stool,No,,,,
Dog,Joint stiffness,Minor diarrhea,No,,,
Cat,Sneezing,Mild conjunctivitis,No,,,
Dog,Joint stiffness,Increased thirst,No,,,
Dog,Joint stiffness,Minor diarrhea,Dry eyes,Dry skin,No,
Cat,Foam at the mouth,Opaque cornea,Fast breathing,Yes,,
Dog,Blood in vomit,Fatigue,Glassy eyes,Yes,,
Cat,Occasional hairball vomit,Runny nose,Increased scratching,Sneezing,No,
Dog,Tremors,Seizures,Panting,Depression,Yes,
Cat,Minor weight loss,Runny nose,No,,,
Dog,Bad breath,Joint stiffness,Minor diarrhea,Dry eyes,No,
Cat,Minor weight loss,Increased scratching,Mild conjunctivitis,Dry stool,Runny nose,No
Dog,Increased thirst,Bad breath,Dry eyes,Minor diarrhea,Dry skin,No
Cat,Panting,Bloody vomit,Excess drooling,Bloody stool,Yes,
Dog,Glassy eyes,Seizures,Panting,High glucose,Drooling,Yes
Cat,Swollen eyes,Pale gums,Excess drooling,Yes,,
Dog,Dry eyes,Minor diarrhea,Joint stiffness,No,,
Cat,Fast breathing,Pale gums,Tremors,Yes,,
Dog,Joint stiffness,Minor diarrhea,Dry eyes,Bad breath,Increased thirst,No
Cat,Dry stool,Occasional hairball vomit,Minor weight loss,Sneezing,No,
Dog,Bad breath,Dry eyes,Dry skin,No,,
Dog,Vomiting,Anxiety,Blood in vomit,Panting,Fever,Yes
Dog,Paralysis,Weight loss,Disorientation,Yes,,
Dog,Bad breath,Dry skin,Joint stiffness,Dry eyes,Increased thirst,No
Dog,Increased thirst,Joint stiffness,No,,,
Dog,Loss of appetite,Vomiting,Depression,Anxiety,Yes,
Cat,Increased scratching,Occasional hairball vomit,No,,,
Dog,Blood in vomit,Panting,Yes,,,
Cat,Swollen eyes,Yes,,,,
Dog,Dry eyes,No,,,,
Cat,Pale gums,Yes,,,,
Dog,Anxiety,Vomiting,Yes,,,
Cat,Mild conjunctivitis,Dry stool,Runny nose,No,,
Cat,Opaque cornea,Bloody stool,Coughing,Yes,,
Dog,Increased thirst,Dry eyes,Joint stiffness,No,,
Cat,Mild conjunctivitis,Increased scratching,Sneezing,No,,
Dog,Minor diarrhea,Joint stiffness,Dry skin,Dry eyes,No,
Dog,High glucose,Anxiety,Vomiting,Yes,,
Cat,Bloody stool,Foam at the mouth,Excess drooling,Yes,,
Cat,Bloody stool,Yes,,,,
Dog,Anxiety,High glucose,Drooling,Yes,,
Cat,Pale gums,Opaque cornea,Swollen eyes,Yes,,
Dog,Paralysis,Fever,Anxiety,Vomiting,Yes,
Dog,Bad breath,Minor diarrhea,Joint stiffness,No,,
Cat,Convulsions,Excess drooling,Yes,,,
Dog,Fatigue,Glassy eyes,Fever,Loss of appetite,Yes,
Cat,Fast breathing,Lethargy,Bloody stool,Panting,Noisy breathing,Yes
Dog,Minor diarrhea,Increased thirst,Dry skin,No,,
Cat,Dry stool,Sneezing,Mild conjunctivitis,Increased scratching,No,
Dog,Joint stiffness,Increased thirst,Dry eyes,Dry skin,Minor diarrhea,No
Dog,Vomiting,Paralysis,Yes,,,
Cat,Bloody vomit,Convulsions,Pale gums,Opaque cornea,Coughing,Yes
Cat,Bloody stool,Panting,Yes,,,
Dog,Dry eyes,Dry skin,Bad breath,No,,
Cat,Opaque cornea,Yes,,,,
Cat,Coughing,Foam at the mouth,Yes,,,
Cat,Minor weight loss,Increased scratching,Dry stool,Mild conjunctivitis,Sneezing,No
Cat,Fast breathing,Noisy breathing,Yes,,,
Dog,Dry skin,Increased thirst,No,,,
Dog,Minor diarrhea,No,,,,
Dog,Dry eyes,No,,,,
Cat,Runny nose,No,,,,
Cat,Dry stool,Increased scratching,Mild conjunctivitis,Sneezing,No,
Cat,Bloody stool,Bloody vomit,Foam at the mouth,Lethargy,Convulsions,Yes
Dog,Excessive thirst,Tremors,Yes,,,
Cat,Fast breathing,Yes,,,,
Cat,Lethargy,Excess drooling,Noisy breathing,Opaque cornea,Yes,
Dog,Minor diarrhea,Increased thirst,Dry skin,No,,
Dog,Bad breath,Minor diarrhea,Joint stiffness,Dry eyes,Dry skin,No
Cat,Minor weight loss,No,,,,
Dog,Fever,Blood in vomit,Yes,,,
Dog,Glassy eyes,Nausea,Drooling,High glucose,Yes,
Cat,Bloody stool,Panting,Yes,,,
Dog,Minor diarrhea,Joint stiffness,Bad breath,Increased thirst,No,
Dog,Fatigue,Glassy eyes,Drooling,Panting,Yes,
Cat,Pale gums,Swollen eyes,Yes,,,
Cat,Convulsions,Noisy breathing,Tremors,Bloody vomit,Bloody stool,Yes
Cat,Noisy breathing,Excess drooling,Swollen eyes,Opaque cornea,Fast breathing,Yes
Dog,Seizures,Excessive thirst,Paralysis,Drooling,Weight loss,Yes
Cat,Increased scratching,Minor weight loss,Dry stool,Sneezing,No,
Dog,Tremors,Panting,Anxiety,Yes,,
Cat,Dry stool,Runny nose,Increased scratching,No,,
Cat,Panting,Opaque cornea,Foam at the mouth,Lethargy,Yes,
Cat,Bloody vomit,Foam at the mouth,Tremors,Coughing,Yes,
Cat,Minor weight loss,Mild conjunctivitis,Occasional hairball vomit,Increased scratching,Sneezing,No
Dog,Paralysis,Yes,,,,
Cat,Dry stool,Increased scratching,Mild conjunctivitis,No,,
Dog,Seizures,Blood in vomit,Weight loss,Tremors,High glucose,Yes
Dog,Dry skin,Bad breath,No,,,
Dog,Weight loss,Tremors,Panting,Yes,,
Cat,Mild conjunctivitis,Minor weight loss,Runny nose,Dry stool,Increased scratching,No
Cat,Sneezing,No,,,,
Cat,Excess drooling,Panting,Coughing,Yes,,
