AnimalName,Symptoms1,Symptoms2,Symptoms3,Symptoms4,Symptoms5,Dangerous
Cat,Runny nose,Occasional hairball vomit,Minor weight loss,Dry stool,Increased scratching,No
Dog,Fatigue,Nausea,Fever,Panting,Glassy eyes,Yes
Cat,Swollen eyes,Noisy breathing,Panting,Pale gums,Opaque cornea,Yes
Cat,Pale gums,Panting,Tremors,Convulsions,Opaque cornea,Yes
Cat,Minor weight loss,Dry stool,Occasional hairball vomit,Increased scratching,Sneezing,No
Cat,Pale gums,Tremors,Panting,Coughing,Noisy breathing,Yes
Dog,Joint stiffness,Bad breath,Increased thirst,Dry skin,Minor diarrhea,No
Cat,Dry stool,Sneezing,Increased scratching,Minor weight loss,Mild conjunctivitis,No
Cat,Occasional hairball vomit,Minor weight loss,Mild conjunctivitis,Dry stool,Runny nose,No
Dog,Fever,High glucose,Excessive thirst,Depression,Vomiting,Yes
Cat,Minor weight loss,Increased scratching,Occasional hairball vomit,Runny nose,Dry stool,No
Dog,Joint stiffness,Dry eyes,Bad breath,Increased thirst,Minor diarrhea,No
Cat,Dry stool,Runny nose,Sneezing,Mild conjunctivitis,Increased scratching,No
Dog,Dry eyes,Joint stiffness,Increased thirst,Dry skin,Bad breath,No
Cat,Noisy breathing,Tremors,Convulsions,Swollen eyes,Excess drooling,Yes
Cat,Mild conjunctivitis,Runny nose,Occasional hairball vomit,Dry stool,Increased scratching,No
Cat,Runny nose,Occasional hairball vomit,Sneezing,Increased scratching,Mild conjunctivitis,No
Dog,Bad breath,Dry eyes,Joint stiffness,Minor diarrhea,Increased thirst,No
Cat,Sneezing,Increased scratching,Runny nose,Minor weight loss,Dry stool,No
Cat,Lethargy,Excess drooling,Swollen eyes,Panting,Noisy breathing,Yes
Cat,Opaque cornea,Tremors,Bloody stool,Foam at the mouth,Pale gums,Yes
Cat,Occasional hairball vomit,Runny nose,Minor weight loss,Increased scratching,Dry stool,No
Cat,Increased scratching,Sneezing,Occasional hairball vomit,Dry stool,Runny nose,No
Cat,Opaque cornea,Bloody vomit,Convulsions,Coughing,Panting,Yes
Dog,Increased thirst,Bad breath,Dry eyes,Joint stiffness,Minor diarrhea,No
Cat,Convulsions,Opaque cornea,Foam at the mouth,Noisy breathing,Panting,Yes
Cat,Occasional hairball vomit,Increased scratching,Sneezing,Runny nose,Mild conjunctivitis,No
Cat,Minor weight loss,Sneezing,Runny nose,Mild conjunctivitis,Increased scratching,No
Cat,Pale gums,Tremors,Excess drooling,Fast breathing,Bloody vomit,Yes
Dog,Vomiting,Loss of appetite,Blood in vomit,Drooling,Depression,Yes
Cat,Fast breathing,Pale gums,Coughing,Bloody vomit,Swollen eyes,Yes
Dog,Weight loss,High glucose,Drooling,Tremors,Loss of appetite,Yes
Dog,Blood in vomit,Depression,Fatigue,High glucose,Drooling,Yes
Dog,Dry skin,Minor diarrhea,Increased thirst,Dry eyes,Bad breath,No
Dog,Glassy eyes,High glucose,Vomiting,Seizures,Loss of appetite,Yes
Dog,Minor diarrhea,Joint stiffness,Dry eyes,Increased thirst,Dry skin,No
Cat,Bloody vomit,Foam at the mouth,Panting,Pale gums,Swollen eyes,Yes
Dog,Bad breath,Joint stiffness,Increased thirst,Dry eyes,Minor diarrhea,No
Dog,Dry skin,Minor diarrhea,Joint stiffness,Increased thirst,Bad breath,No
Dog,Bad breath,Minor diarrhea,Joint stiffness,Dry skin,Dry eyes,No
Cat,Mild conjunctivitis,Increased scratching,Dry stool,Sneezing,Occasional hairball vomit,No
Cat,Foam at the mouth,Convulsions,Fast breathing,Opaque cornea,Noisy breathing,Yes
Dog,Dry eyes,Joint stiffness,Increased thirst,Bad breath,Dry skin,No
Dog,Joint stiffness,Dry skin,Increased thirst,Minor diarrhea,Dry eyes,No
Dog,Joint stiffness,Minor diarrhea,Dry skin,Dry eyes,Bad breath,No
Cat,Occasional hairball vomit,Minor weight loss,Mild conjunctivitis,Sneezing,Dry stool,No
Cat,Mild conjunctivitis,Runny nose,Sneezing,Dry stool,Occasional hairball vomit,No
Cat,Dry stool,Runny nose,Mild conjunctivitis,Sneezing,Occasional hairball vomit,No
Dog,Increased thirst,Bad breath,Minor diarrhea,Dry eyes,Dry skin,No
Dog,Joint stiffness,Increased thirst,Dry skin,Dry eyes,Minor diarrhea,No
Cat,Excess drooling,Swollen eyes,Bloody vomit,Tremors,Noisy breathing,Yes
Cat,Occasional hairball vomit,Increased scratching,Sneezing,Minor weight loss,Mild conjunctivitis,No
Cat,Minor weight loss,Mild conjunctivitis,Occasional hairball vomit,Dry stool,Increased scratching,No
Dog,Increased thirst,Dry skin,Bad breath,Joint stiffness,Dry eyes,No
Cat,Increased scratching,Occasional hairball vomit,Dry stool,Minor weight loss,Mild conjunctivitis,No
Dog,Minor diarrhea,Bad breath,Joint stiffness,Dry eyes,Dry skin,No
Dog,Dry eyes,Dry skin,Minor diarrhea,Joint stiffness,Bad breath,No
Cat,Tremors,Fast breathing,Pale gums,Foam at the mouth,Convulsions,Yes
Cat,Excess drooling,Swollen eyes,Pale gums,Tremors,Noisy breathing,Yes
Cat,Increased scratching,Runny nose,Minor weight loss,Sneezing,Mild conjunctivitis,No
Cat,Lethargy,Opaque cornea,Swollen eyes,Foam at the mouth,Bloody stool,Yes
Cat,Dry stool,Runny nose,Sneezing,Mild conjunctivitis,Minor weight loss,No
Cat,Increased scratching,Minor weight loss,Occasional hairball vomit,Sneezing,Mild conjunctivitis,No
Cat,Sneezing,Increased scratching,Dry stool,Mild conjunctivitis,Occasional hairball vomit,No
Cat,Occasional hairball vomit,Minor weight loss,Mild conjunctivitis,Increased scratching,Runny nose,No
Dog,Glassy eyes,Seizures,Tremors,Loss of appetite,Vomiting,Yes
Cat,Runny nose,Sneezing,Increased scratching,Occasional hairball vomit,Dry stool,No
Cat,Mild conjunctivitis,Occasional hairball vomit,Increased scratching,Minor weight loss,Sneezing,No
Dog,Panting,Excessive thirst,Paralysis,Tremors,Loss of appetite,Yes
Dog,Dry skin,Joint stiffness,Increased thirst,Minor diarrhea,Dry eyes,No
Dog,Bad breath,Dry skin,Dry eyes,Increased thirst,Minor diarrhea,No
Cat,Panting,Swollen eyes,Noisy breathing,Tremors,Lethargy,Yes
Dog,Minor diarrhea,Joint stiffness,Dry eyes,Increased thirst,Dry skin,No
Dog,Joint stiffness,Dry eyes,Dry skin,Increased thirst,Minor diarrhea,No
Cat,Bloody vomit,Coughing,Swollen eyes,Convulsions,Pale gums,Yes
Cat,Coughing,Noisy breathing,Panting,Lethargy,Foam at the mouth,Yes
Cat,Swollen eyes,Foam at the mouth,Excess drooling,Noisy breathing,Opaque cornea,Yes
Dog,Panting,Excessive thirst,Loss of appetite,Weight loss,Fatigue,Yes
Dog,Depression,High glucose,Blood in vomit,Disorientation,Nausea,Yes
Dog,Increased thirst,Minor diarrhea,Dry skin,Joint stiffness,Bad breath,No
Dog,Dry eyes,Increased thirst,Joint stiffness,Bad breath,Dry skin,No
Cat,Lethargy,Bloody vomit,Noisy breathing,Tremors,Bloody stool,Yes
Cat,Tremors,Panting,Coughing,Bloody stool,Pale gums,Yes
Cat,Occasional hairball vomit,Sneezing,Dry stool,Mild conjunctivitis,Minor weight loss,No
