AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous
Perro,Fiebre,Diarrea,Vómitos,Pérdida de peso,Deshidración,Yes
Perro,Fiebre,Diarrea,Tos,Cansancio,Esfuerzos,Yes
Perro,Fiebre,Diarrea,Tos,Vómitos,Anorexia,Yes
Perro,Fiebre,Dificultad para respirar,Tos,Letargo,Estornudos,Yes
Perro,Fiebre,Diarrea,Tos,Letargo,Ojo azul,Yes
Perro,Fiebre,Dificultad respiratoria,Convulsionadores,Hiperestesia,Muerte súbita,Yes
Perro,Úlceras,Diarrea,Falta de apetito,Taburete alquitranado,Ganglios linfáticos agrandados,Yes
Perro,Hinchazón facial,Baba sangrienta,Mal aliento,Incapaz de comer,Dientes perdidos,Yes
Perro,Fiebre,Dificultad para respirar,Sed y micción,Pérdida de peso,Ganglios linfáticos agrandados o hinchazón,Yes
Perro,Hinchazón en la pierna,Doloroso,Secreción nasal,Huesos rotos,Secreción nasal,Yes
Perro,Letargo de corta duración,Pérdida de apetito,Debilidad en las patas traseras,Frecuencia cardíaca rápida,Pulso semanal,Yes
Perro,Ganglios linfáticos inflamados,Dificultad para caminar,Dolor de espalda,Letargo,Secreción vaginal,Yes
Perro,Fiebre,Diarrea,Dolor abdominal,Rigidez,Debilidad severa y depresión,Yes
Perro,Fiebre,Pérdida de apetito,Reducir la energía,Cojera,Hinchazón de las articulaciones,Yes
Perro,Fiebre,Inflamación crónica del ojo,Falta de apetito,Letargo,Anormalidades neurológicas,Yes
Perro,Fiebre,Hinchazón de la cara o la pierna,Falta de apetito,Depresión,Esfuerzos,Yes
Perro,Diarrea con mucosidad,Tensemo,Heces acuosas,Flatulencia,Esfuerzos,Yes
Perro,Tos fuerte,Rinorrea,Estornudos,Letargo,Pérdida de apetito,Yes
Perro,Fiebre,Ojo inflamado,Tos,Depresión,Cojeando,Yes
Perro,Fiebre,Dificultad para respirar,Tos,Cambios en los ojos y la piel,Incapaz de hacer ejercicio,Yes
Perro,Fiebre,Pérdida de apetito,Tos,Letargo,Dolor en las articulaciones,Yes
Perro,Lesiones en la cavidad nasal,Lesiones en la nariz,Sangrado nasal,Respiración ruidosa,Lesiones en la nariz,Yes
Perro,Pérdida de cabello,Caspa,Piel oscurecida,Formación de costras en la piel,Piel ulcerada,Yes
Perro,Secreción nasal de color amarillo verdoso,Falta de pigmentación,Estornudos,Letargo,Dolor en la cara,Yes
Perro,Fiebre,Diarrea,Falta de apetito,Pérdida de peso,Vómitos,Yes
Perro,Ictericia,Neumonía,Lesión en la piel, dolor,Vómitos,Yes
Perro, Mala apariencia del pelaje,Diarrea,Vómitos,Pérdida de peso,Deshidración,Yes
Perro,Riego,Sin aplicación,Vómitos,Letargo,Deshidración,Yes
Perro,Tirante,Diarrea,Vómitos,Pérdida de peso,Ceguera,Yes
Perro,Malestar estomacal,Diarrea,Vómitos,Dolor muscular,Rigidez muscular,Yes
Perro,Malestar estomacal,Diarrea,Tos,Pérdida de peso,Anemia,Yes
Perro,Reacción alérgica,Falta de apetito,Tos,Pérdida de peso,Pecho distendido,Yes
Perro,Fiebre,Anoxeria,Pérdida de peso,Letargo,Dolor,Yes
Perro,Cojeando,No correré para saltar, Hinchazón,Piernas débiles,Dolor en la pierna,Yes
gato,Fiebre,Úlcera ocular,Congestión,Depresión,Ojo rosado,Yes
gato,Neumonía,Pérdida de apetito,Descarga de ojos,Cojera,Artritis,Yes
gato,Fiebre,Convulsiones,Hidrofobia,Me quedé con la mandíbula caída,Timidez o agresión,Yes
gato,Orina con sangre,Dificultad para respirar,Vómitos,Pérdida de peso,Anorexia,Yes
gato,Pérdida de comer,Dificultad para respirar, Hinchazón,Cojera,Anormalidades neurológicas,Yes
gato,Cara oscura o negra,Diarrea,Vómitos,Sangre en las caras,Dolor,Yes
gato,Ictericia,Dificultad para respirar,Convulsionadores,Letargo,Encías pálidas,Yes
gato,El apetito varía,Diarrea,Vómitos,Pérdida de peso,Dolor,Yes
gato,Pérdida de comer,Me sentí mal,Letargo,Pérdida de peso,Problema de la piel,Yes
gato,Enfermedad,Pérdida de apetito,Vómitos,Pérdida de peso,Crecimiento elevado o protuberancia,Yes
gato,Sangrado nasal,Dificultad para masticar, Hinchazón,Pérdida de peso,Anorexia,Yes
gato,Úlceras, Lesiones,Costras,Bultos,"Bultos (negros, grises o rojos)",Yes
gato,Gastón,Pérdida de apetito,Sangre en las heces,El estómago gruñe,Taburete negro,Yes
gato,Sacudiendo la cabeza,Rasguño en la oreja,Negro en la oreja,Mal olor,Oído rojo e inflamado,Yes
gato,Ataques,Pérdida de apetito,Tos,Pérdida de peso,Vómitos periódicos,Yes
gato,Heces con sangre,Diarrea,Tos,Pérdida de peso,Anemia,Yes
gato,Secreción nasal,Hemorragias nasales,fosas nasales inflamadas,Estornudos,Respiración fuerte,Yes
gato,Poliuria,Pérdida de apetito,Vómitos,Pérdida de peso,Polidipsa,Yes
gato,Micción excesiva,Cambio en la marcha,Vómitos,Pérdida de peso,Incapacidad para saltar,Yes
gato,Convulsión,Pérdida de conciencia,masticación,Espasmos,Salivando,Yes
gato,Sibilancia,Respiración rápida,Tos,Tragar,Esfuerzo para respirar,Yes
gato,Ictericia,Debilidad,Letargo,Pérdida de peso,Anorexia,Yes
gato,Lesión en la piel del gato,Caspa en el pelaje del gato,Manchas rojas,Pérdida de cabello,Problema de la piel,Yes
gato,Letargo,Diarrea,Vómitos,Secreción del ojo,Anorexia,Yes
gato,Irritación de la piel,Raspado,Letargo,Pérdida de cabello,Acicalamiento excesivo,Yes
gato,Músculo flácido,Retraso en el habla,Discapacidad intelectual,Problema al caminar,Movimientos oculares,Yes
